"Combined FIPS Code","ANSI Code","STNAME","County Name","POP2010","Total Congregations","Total Adherents","Total Adherents per Thousand","Evangelical Protestant Adherents","Evangelical Protestants Per Thousand","Black Protestant Adherents","Black Protestants per Thousand","Mainline Protestant  Adherents","Mainline Protestants per Thousand","Catholic Adherents","Catholic Adherents per Thousand","Orthodox Adherents","Orthodox Adherents per Thousand","Baha'I Adherents","Baha'I Adherents per Thousand","Buddhism, Mahayana Adherents","Buddhism, Mahayana Adherents per Thousand","Buddhism, Theravada Adherents","Buddhism, Theravada Adherents per Thousand","Buddhism, Vajrayana Adherents","Buddhism, Vajrayana Adherents per Thousand","Total Buddhist Adherents","Total Buddhist Adherents  per Thousand","Latter Day Saints Adherents","Latter Day Saints Adherents per Thousand","Indian-American Hindu Adherents","Indian-American Hindu Adherents per Thousand","Post Renaissance Hindu Adherents","Post Renaissance Hindu Adherents per Thousand","Renaissance Hindu Adherents","Renaissance Hindu Adherents per Thousand","Traditional Hindu Temples Adherents","Traditional Hindu Temples Adherents per Thousand","Total Hindu Adherents","Total Hindus Adherents per Thousand","Muslims Estimated","Muslims Estimated per Thousand","Conservative Judaism Adherents","Conservative Judaism Adherents per Thousand","Orthodox Judaism Adherents","Orthodox Judaism Adherents per Thousand","Reconstructionist Judaism Adherents","Reconstructionism Judaism Adherents per Thousand","Reform Judaism Adherents","Reform Judaism Adherents per Thousand","Total Judaism Adherents","Total Judaism Adherents per Thousand","Unitarian Universalist Adherents","Unitarian Universalist Adherents per Thousand","Zoroastrian Adherents","Zoroastrian Adherents per Thousand"
"1033","01033","Alabama","Colbert County","  54,428 ","  140 ","  37,805 ","694.59","  29,759 ","546.76","  3,256 ","59.82","  3,368 ","61.88","  1,415 ","26.00","","","  7 ","0.13","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1035","01035","Alabama","Conecuh County","  13,228 ","  62 ","  7,550 ","570.76","  4,297 ","324.84","  2,000 ","151.19","  981 ","74.16","","","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1037","01037","Alabama","Coosa County","  11,539 ","  49 ","  6,148 ","532.80","  4,180 ","362.25","  1,388 ","120.29","  577 ","50.00","","","","","  3 ","0.26","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1039","01039","Alabama","Covington County","  37,765 ","  126 ","  23,386 ","619.25","  20,052 ","530.97","  677 ","17.93","  2,093 ","55.42","  291 ","7.71","","","  4 ","0.11","","","","","","","0","0.00","  269 ","7.12","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1041","01041","Alabama","Crenshaw County","  13,906 ","  68 ","  8,784 ","631.67","  7,442 ","535.16","  244 ","17.55","  875 ","62.92","","","","","  2 ","0.14","","","","","","","0","0.00","  221 ","15.89","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1043","01043","Alabama","Cullman County","  80,406 ","  227 ","  62,799 ","781.02","  53,863 ","669.89","","","  3,698 ","45.99","  4,614 ","57.38","","","  5 ","0.06","","","","","","","0","0.00","  619 ","7.70","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1045","01045","Alabama","Dale County","  50,251 ","  109 ","  24,732 ","492.17","  17,979 ","357.78","  1,891 ","37.63","  3,712 ","73.87","  278 ","5.53","","","  9 ","0.18","","","","","","","0","0.00","  863 ","17.17","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1047","01047","Alabama","Dallas County","  43,820 ","  140 ","  26,546 ","605.80","  16,764 ","382.57","  6,398 ","146.01","  2,438 ","55.64","  536 ","12.23","","","  32 ","0.73","","","","","","","0","0.00","  329 ","7.51","","","","","","","","","0","0.00","  30 ","0.68","","","","","","","  19 ","0.43","  19 ","0.43","","","",""
"1049","01049","Alabama","DeKalb County","  71,109 ","  184 ","  39,370 ","553.66","  32,536 ","457.55","","","  3,925 ","55.20","  2,657 ","37.37","","","  1 ","0.01","","","","","","","0","0.00","  251 ","3.53","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1051","01051","Alabama","Elmore County","  79,303 ","  141 ","  37,247 ","469.68","  28,235 ","356.04","  1,902 ","23.98","  5,902 ","74.42","  677 ","8.54","","","  13 ","0.16","","","","","","","0","0.00","  518 ","6.53","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
