# name;planet_status;mass;mass_error_min;mass_error_max;mass_sini;mass_sini_error_min;mass_sini_error_max;radius;radius_error_min;radius_error_max;orbital_period;orbital_period_error_min;orbital_period_error_max;semi_major_axis;semi_major_axis_error_min;semi_major_axis_error_max;eccentricity;inclination;angular_distance;discovered;detection_type;mag_v;star_distance;star_mass
Kepler-756 b;Confirmed;;;;;;;0.1;0.009;0.008;1.22486632;3.84e-06;3.84e-06;;;;;;;2016;Primary Transit;;852.0;0.82
Kepler-757 b;Confirmed;;;;;;;0.121;0.02;0.041;1.02267882;2.44e-06;2.44e-06;;;;;;;2016;Primary Transit;;1016.0;1.08
Kepler-758 b;Confirmed;;;;;;;0.221;0.036;0.049;12.1097104;7.142e-05;7.142e-05;;;;;;;2016;Primary Transit;;1353.0;1.16
Kepler-758 c;Confirmed;;;;;;;0.151;0.026;0.033;4.75793986;3.846e-05;3.846e-05;;;;;;;2016;Primary Transit;;1353.0;1.16
Kepler-758 d;Confirmed;;;;;;;0.189;0.029;0.042;20.4966197;0.0002282;0.0002282;;;;;;;2016;Primary Transit;;1353.0;1.16
Kepler-758 e;Confirmed;;;;;;;0.136;0.022;0.029;8.1934719;0.0001036;0.0001036;;;;;;;2016;Primary Transit;;1353.0;1.16
Kepler-759 b;Confirmed;;;;;;;0.203;0.021;0.044;41.805985;0.0002082;0.0002082;;;;;;;2016;Primary Transit;;892.0;1.04
Kepler-76 b;Confirmed;2.01;0.35;0.37;;;;1.36;0.12;0.12;1.5449298;4E-07;4E-07;0.0274;0.0019;0.002;;77.55;;2013;Default;14.0;842.87;1.2
Kepler-760 b;Confirmed;;;;;;;0.273;0.021;0.023;8.70419416;1.277e-05;1.277e-05;;;;;;;2016;Primary Transit;;782.0;0.89
Kepler-760 c;Confirmed;;;;;;;0.132;0.008;0.011;2.46697439;6.58e-06;6.58e-06;;;;;;;2016;Primary Transit;;782.0;0.89
Kepler-761 b;Confirmed;;;;;;;0.181;0.015;0.022;10.12804789;2.905e-05;2.905e-05;;;;;;;2016;Primary Transit;;867.0;0.95
Kepler-762 b;Confirmed;;;;;;;1.131;0.112;0.236;3.7705521;9.4e-07;9.4e-07;;;;;;;2016;Primary Transit;;1465.0;1.06
Kepler-763 b;Confirmed;;;;;;;0.109;0.007;0.008;1.19655156;3.56e-06;3.56e-06;;;;;;;2016;Primary Transit;;902.0;0.84
Kepler-764 b;Confirmed;;;;;;;0.146;0.012;0.018;7.33683936;3.735e-05;3.735e-05;;;;;;;2016;Primary Transit;;1013.0;0.92
Kepler-765 b;Confirmed;;;;;;;0.217;0.02;0.047;27.6655226;0.0001297;0.0001297;;;;;;;2016;Primary Transit;;1000.0;1.05
Kepler-766 b;Confirmed;;;;;;;0.302;0.036;0.083;6.10027804;1.64e-05;1.64e-05;;;;;;;2016;Primary Transit;;1614.0;1.1
Kepler-767 b;Confirmed;;;;;;;0.592;0.049;0.077;161.5280101;0.0003086;0.0003086;;;;;;;2016;Primary Transit;;1185.0;0.96
Kepler-768 b;Confirmed;;;;;;;0.16;0.012;0.018;11.3910025;7.499e-05;7.499e-05;;;;;;;2016;Primary Transit;;795.0;0.82
Kepler-769 b;Confirmed;;;;;;;0.261;0.041;0.116;7.42608998;1.952e-05;1.952e-05;;;;;;;2016;Primary Transit;;1362.0;1.19
Kepler-769 c;Confirmed;;;;;;;0.16;0.024;0.068;15.9870174;0.0001999;0.0001999;;;;;;;2016;Primary Transit;;1362.0;1.19
Kepler-77 b;Confirmed;0.43;0.032;0.032;;;;0.96;0.016;0.016;3.57878087;2.3e-07;2.3e-07;0.04501;0.00063;0.00063;0.0;88.0;;2013;Primary Transit;15.0;570.0;0.95
Kepler-770 b;Confirmed;;;;;;;0.205;0.015;0.029;18.92540274;5.291e-05;5.291e-05;;;;;;;2016;Primary Transit;;761.0;0.94
Kepler-770 c;Confirmed;;;;;;;0.107;0.009;0.017;1.47532231;4.19e-06;4.19e-06;;;;;;;2016;Primary Transit;;761.0;0.94
Kepler-770 d;Confirmed;;;;;;;0.125;0.01;0.017;4.15244722;1.685e-05;1.685e-05;;;;;;;2016;Primary Transit;;761.0;0.94
Kepler-771 b;Confirmed;;;;;;;0.162;0.019;0.028;8.73485836;4.732e-05;4.732e-05;;;;;;;2016;Primary Transit;;1000.0;1.03
Kepler-772 b;Confirmed;;;;;;;0.162;0.021;0.033;12.99207337;5.428e-05;5.428e-05;;;;;;;2016;Primary Transit;;689.0;0.98
Kepler-773 b;Confirmed;;;;;;;0.128;0.006;0.008;3.74910006;7.14e-06;7.14e-06;;;;;;;2016;Primary Transit;;528.0;1.04
Kepler-774 b;Confirmed;;;;;;;0.283;0.048;0.041;11.0895723;4.373e-05;4.373e-05;;;;;;;2016;Primary Transit;;1190.0;1.57
Kepler-775 b;Confirmed;;;;;;;0.106;0.004;0.004;0.97486893;8E-07;8E-07;;;;;;;2016;Primary Transit;;400.0;0.92
Kepler-776 b;Confirmed;;;;;;;0.114;0.006;0.01;4.89718784;1.969e-05;1.969e-05;;;;;;;2016;Primary Transit;;727.0;0.83
Kepler-777 b;Confirmed;;;;;;;0.131;0.007;0.007;5.72812599;2.019e-05;2.019e-05;;;;;;;2016;Primary Transit;;383.0;0.58
Kepler-778 b;Confirmed;;;;;;;0.15;0.012;0.009;3.75574426;1.083e-05;1.083e-05;;;;;;;2016;Primary Transit;;899.0;0.81
Kepler-779 b;Confirmed;;;;;;;0.082;0.006;0.006;7.09714223;2.921e-05;2.921e-05;;;;;;;2016;Primary Transit;;224.0;0.46
Kepler-78 b;Confirmed;0.00619;0.00168;0.00168;;;;0.1;0.01;0.01;0.35500744;6E-08;6E-08;0.01;0.011;0.0025;;79.0;;2013;Primary Transit;12.0;124.82;0.84
Kepler-780 b;Confirmed;;;;;;;0.079;0.005;0.008;0.67737516;1.25e-06;1.25e-06;;;;;;;2016;Primary Transit;;520.0;1.01
Kepler-781 b;Confirmed;;;;;;;0.258;0.021;0.044;13.2140732;3.577e-05;3.577e-05;;;;;;;2016;Primary Transit;;1036.0;0.81
Kepler-782 b;Confirmed;;;;;;;0.286;0.027;0.042;158.6853308;0.0004373;0.0004373;;;;;;;2016;Primary Transit;;412.0;0.98
Kepler-783 b;Confirmed;;;;;;;0.07;0.007;0.004;4.29264638;3.429e-05;3.429e-05;;;;;;;2016;Primary Transit;;544.0;0.93
Kepler-783 c;Confirmed;;;;;;;0.208;;;7.05395;;;;;;;;;2020;Primary Transit;;544.0;0.93
Kepler-784 b;Confirmed;;;;;;;0.141;0.029;0.03;31.5922646;0.0006809;0.0006809;;;;;;;2016;Primary Transit;;604.0;1.0
Kepler-785 b;Confirmed;;;;;;;1.162;0.047;0.039;1.97376093;1E-07;1E-07;;;;;;;2016;Primary Transit;;666.0;0.77
Kepler-786 b;Confirmed;;;;;;;0.217;0.006;0.011;53.5293487;0.0002571;0.0002571;;;;;;;2016;Primary Transit;;512.0;0.81
Kepler-787 b;Confirmed;;;;;;;0.114;0.006;0.005;0.9283105;2.2e-06;2.2e-06;;;;;;;2016;Primary Transit;;468.0;0.65
Kepler-788 b;Confirmed;;;;;;;0.227;0.036;0.08;8.39846269;5.719e-05;5.719e-05;;;;;;;2016;Primary Transit;;1649.0;1.16
Kepler-789 b;Confirmed;;;;;;;0.189;0.021;0.037;8.63847725;3.071e-05;3.071e-05;;;;;;;2016;Primary Transit;;915.0;1.01
Kepler-79 b;Confirmed;0.0343;0.019;0.023;;;;0.31;0.006;0.006;13.4845;0.0002;0.0002;0.117;0.002;0.002;0.015;88.78;;2012;Primary Transit;14.11;1051.43;1.17
Kepler-79 c;Confirmed;0.019;0.0072;0.006;;;;0.332;0.007;0.007;27.4029;0.0006;0.0008;0.187;0.003;0.002;0.03;89.48;;2012;Primary Transit;14.11;1051.43;1.17
Kepler-79 d;Confirmed;0.019;0.005;0.0066;;;;0.639;0.014;0.012;52.0902;0.001;0.001;0.287;0.004;0.004;0.025;89.93;;2014;Primary Transit;14.11;1051.43;1.17
Kepler-79 e;Confirmed;0.013;0.0035;0.0038;;;;0.311;0.012;0.012;81.0659;0.0013;0.0013;0.386;0.005;0.005;0.012;89.13;;2014;Primary Transit;14.11;1051.43;1.17
Kepler-790 b;Confirmed;;;;;;;0.194;0.012;0.015;13.73469807;4.026e-05;4.026e-05;;;;;;;2016;Primary Transit;;727.0;0.84
Kepler-791 b;Confirmed;;;;;;;0.272;0.062;0.118;14.5539759;0.0001002;0.0001002;;;;;;;2016;Primary Transit;;1447.0;1.3
Kepler-792 b;Confirmed;;;;;;;0.175;0.021;0.044;11.30119217;6.491e-05;6.491e-05;;;;;;;2016;Primary Transit;;1205.0;1.09
Kepler-793 b;Confirmed;;;;;;;0.122;0.014;0.025;4.24153639;2.259e-05;2.259e-05;;;;;;;2016;Primary Transit;;794.0;0.98
Kepler-794 b;Confirmed;;;;;;;0.188;0.03;0.046;11.13125132;3.571e-05;3.571e-05;;;;;;;2016;Primary Transit;;763.0;1.19
Kepler-795 b;Confirmed;;;;;;;0.15;0.012;0.016;29.6193421;0.0001144;0.0001144;;;;;;;2016;Primary Transit;;458.0;0.94
Kepler-796 b;Confirmed;;;;;;;0.116;0.02;0.032;6.40087618;2.313e-05;2.313e-05;;;;;;;2016;Primary Transit;;377.0;0.93
Kepler-797 b;Confirmed;;;;;;;0.194;0.02;0.038;27.07237711;9.275e-05;9.275e-05;;;;;;;2016;Primary Transit;;752.0;0.96
Kepler-798 b;Confirmed;;;;;;;0.213;0.03;0.093;13.71933369;5.734e-05;5.734e-05;;;;;;;2016;Primary Transit;;1085.0;1.19
Kepler-799 b;Confirmed;;;;;;;0.614;0.051;0.076;133.4605235;0.000253;0.000253;;;;;;;2016;Primary Transit;;1029.0;0.95
Kepler-8 b;Confirmed;0.59;0.12;0.13;;;;1.416;0.062;0.053;3.5224991;7E-07;7E-07;0.0474;0.0021;0.0018;0.0;83.978;3.6e-05;2010;Primary Transit;13.9;1052.9;1.21
Kepler-80 b;Confirmed;0.0218;0.0022;0.0033;;;;0.238;0.009;0.009;7.05246;0.00022;0.0002;0.0648;0.0009;0.0009;;89.34;;2012;Primary Transit;15.0;357.0;0.73
Kepler-80 c;Confirmed;0.02121;0.00271;0.00387;;;;0.244;0.009;0.011;9.52355;0.00029;0.00041;0.0792;0.0011;0.0011;;89.33;;2012;Primary Transit;15.0;357.0;0.73
Kepler-80 d;Confirmed;0.02124;0.0016;0.00217;;;;0.136;0.006;0.008;3.07222;4E-05;6E-05;0.0372;0.0005;0.0005;;88.35;;2014;Primary Transit;15.0;357.0;0.73
Kepler-80 e;Confirmed;0.01299;0.00299;0.00255;;;;0.143;0.006;0.007;4.64489;0.00019;0.0002;0.0491;0.0007;0.0007;;88.79;;2014;Primary Transit;15.0;357.0;0.73
Kepler-80 f;Confirmed;;;;;;;0.108;0.004;0.005;0.9867873;6E-08;6E-08;0.0175;0.0002;0.0002;;86.5;;2016;Primary Transit;15.0;357.0;0.73
Kepler-80 g;Confirmed;;;;;;;0.101;0.012;0.012;14.64558;0.00012;0.00012;0.14;;;;89.35;;2017;Primary Transit;15.0;357.0;0.73
Kepler-800 b;Confirmed;;;;;;;0.254;0.023;0.03;14.13176026;4.273e-05;4.273e-05;;;;;;;2016;Primary Transit;;1049.0;0.85
Kepler-801 b;Confirmed;;;;;;;0.178;0.009;0.007;11.41928253;2.439e-05;2.439e-05;;;;;;;2016;Primary Transit;;419.0;0.67
Kepler-802 b;Confirmed;;;;;;;0.316;0.036;0.042;40.0587473;0.0001092;0.0001092;;;;;;;2016;Primary Transit;;828.0;0.93
Kepler-803 b;Confirmed;;;;;;;0.338;0.034;0.049;50.28638192;8.862e-05;8.862e-05;;;;;;;2016;Primary Transit;;615.0;1.05
Kepler-804 b;Confirmed;;;;;;;0.173;0.014;0.021;14.37457351;3.236e-05;3.236e-05;;;;;;;2016;Primary Transit;;648.0;1.01
Kepler-804 c;Confirmed;;;;;;;0.102;0.012;0.018;9.65185017;5.013e-05;5.013e-05;;;;;;;2016;Primary Transit;;648.0;1.01
Kepler-805 b;Confirmed;;;;;;;0.258;0.022;0.012;30.8638931;0.0001259;0.0001259;;;;;;;2016;Primary Transit;;657.0;1.19
Kepler-806 b;Confirmed;;;;;;;0.102;0.021;0.029;8.09219642;3.302e-05;3.302e-05;;;;;;;2016;Primary Transit;;260.0;0.99
Kepler-807 b;Confirmed;;;;;;;0.93;0.095;0.178;117.93108781;8.603e-05;8.603e-05;;;;;;;2016;Primary Transit;;1312.0;1.04
Kepler-808 b;Confirmed;;;;;;;0.13;0.007;0.005;0.63133235;3.5e-07;3.5e-07;;;;;;;2016;Primary Transit;;321.0;0.76
Kepler-809 b;Confirmed;;;;;;;0.269;0.022;0.06;55.63934;0.0001825;0.0001825;;;;;;;2016;Primary Transit;;933.0;0.99
Kepler-81 b;Confirmed;;;;;;;0.216;0.034;0.034;5.955;;;0.056;;;0.0;85.94;;2012;Primary Transit;15.563;351.79;0.648
Kepler-81 c;Confirmed;;;;;;;0.211;0.033;0.033;12.04;;;0.089;;;0.0;87.66;;2012;Primary Transit;15.563;351.79;0.648
Kepler-81 d;Confirmed;;;;;;;0.108;0.024;0.024;20.837846;0.000181;0.000181;0.128;;;;;;2014;Primary Transit;15.563;351.79;0.648
Kepler-810 b;Confirmed;;;;;;;0.172;0.017;0.037;4.59725385;2.999e-05;2.999e-05;;;;;;;2016;Primary Transit;;1554.0;1.03
Kepler-811 b;Confirmed;;;;;;;0.241;0.043;0.061;23.58447697;7.601e-05;7.601e-05;;;;;;;2016;Primary Transit;;847.0;1.01
Kepler-812 b;Confirmed;;;;;;;0.317;0.061;0.12;10.11716531;2.533e-05;2.533e-05;;;;;;;2016;Primary Transit;;1482.0;1.45
Kepler-813 b;Confirmed;;;;;;;0.191;0.017;0.037;19.12947337;7.455e-05;7.455e-05;;;;;;;2016;Primary Transit;;840.0;0.95
Kepler-814 b;Confirmed;;;;;;;0.189;0.027;0.062;6.1469851;2.5e-05;2.5e-05;;;;;;;2016;Primary Transit;;1327.0;1.15
Kepler-815 b;Confirmed;;;;;;;0.367;0.029;0.017;8.57503552;5.91e-05;5.91e-05;;;;;;;2016;Primary Transit;;1199.0;1.25
Kepler-816 b;Confirmed;;;;;;;0.914;0.048;0.061;10.50682565;3.82e-06;3.82e-06;;;;;;;2016;Primary Transit;;1059.0;0.9
Kepler-817 b;Confirmed;;;;;;;0.806;0.101;0.184;3.99010623;1.36e-06;1.36e-06;;;;;;;2016;Primary Transit;;1401.0;1.03
Kepler-818 b;Confirmed;;;;;;;0.456;0.038;0.07;10.03538581;6.59e-06;6.59e-06;;;;;;;2016;Primary Transit;;967.0;0.94
Kepler-819 b;Confirmed;;;;;;;0.246;0.015;0.022;33.1995648;0.0001174;0.0001174;;;;;;;2016;Primary Transit;;722.0;0.86
Kepler-82 b;Confirmed;0.03823;0.00274;0.00302;;;;0.363;0.009;0.021;26.44;0.48;0.48;0.1683;0.002;0.002;0.0033;89.052;;2012;Primary Transit;;927.97;0.91
Kepler-82 c;Confirmed;0.04373;0.00378;0.00409;;;;0.476;0.012;0.029;51.54;0.94;0.94;0.2626;0.0032;0.0032;0.007;90.15;;2012;Primary Transit;;927.97;0.91
Kepler-82 d;Confirmed;;;;;;;0.158;0.024;0.024;2.382961;5E-06;5E-06;0.034;;;;;;2014;Primary Transit;;927.97;0.91
Kepler-82 e;Confirmed;;;;;;;0.22;0.033;0.033;5.902206;1.2e-05;1.2e-05;0.063;;;;;;2014;Primary Transit;;927.97;0.91
Kepler-82 f;Confirmed;0.06576;0.00315;0.00315;;;;;;;75.732;0.012;0.012;0.3395;0.0041;0.0041;0.0014;86.3;;2019;TTV;;927.97;0.91
Kepler-820 b;Confirmed;;;;;;;0.543;0.079;0.239;127.8338098;0.0003082;0.0003082;;;;;;;2016;Primary Transit;;989.0;1.23
Kepler-821 b;Confirmed;;;;;;;0.117;0.007;0.009;1.92279873;4.82e-06;4.82e-06;;;;;;;2016;Primary Transit;;619.0;0.84
Kepler-822 b;Confirmed;;;;;;;0.158;0.019;0.037;3.22296927;9.46e-06;9.46e-06;;;;;;;2016;Primary Transit;;956.0;1.06
Kepler-823 b;Confirmed;;;;;;;0.14;0.012;0.028;4.16809082;1.748e-05;1.748e-05;;;;;;;2016;Primary Transit;;896.0;0.98
Kepler-824 b;Confirmed;;;;;;;0.167;0.021;0.063;4.51436633;1.397e-05;1.397e-05;;;;;;;2016;Primary Transit;;1352.0;1.15
Kepler-825 b;Confirmed;;;;;;;0.136;0.02;0.035;3.77360059;1.242e-05;1.242e-05;;;;;;;2016;Primary Transit;;820.0;1.03
Kepler-825 c;Confirmed;;;;;;;0.164;0.021;0.036;8.1818246;2.265e-05;2.265e-05;;;;;;;2016;Primary Transit;;820.0;1.03
Kepler-826 b;Confirmed;;;;;;;0.112;0.012;0.018;4.48758907;1.653e-05;1.653e-05;;;;;;;2016;Primary Transit;;649.0;1.05
Kepler-827 b;Confirmed;;;;;;;0.502;0.041;0.062;51.92927591;9.288e-05;9.288e-05;;;;;;;2016;Primary Transit;;1352.0;0.93
Kepler-828 b;Confirmed;;;;;;;0.135;0.01;0.007;0.56785714;4.4e-07;4.4e-07;;;;;;;2016;Primary Transit;;625.0;0.81
Kepler-829 b;Confirmed;;;;;;;0.188;0.016;0.039;6.88337562;1.963e-05;1.963e-05;;;;;;;2016;Primary Transit;;954.0;0.98
Kepler-83 b;Confirmed;;;;;;;0.252;0.037;0.037;9.77;;;0.078;;;0.0;88.24;;2012;Primary Transit;16.511;405.01;0.664
Kepler-83 c;Confirmed;;;;;;;0.211;0.031;0.031;20.09;;;0.126;;;0.0;88.81;;2012;Primary Transit;16.511;405.01;0.664
Kepler-83 d;Confirmed;;;;;;;0.173;0.012;0.012;5.169796;1.6e-05;1.6e-05;0.051;;;;;;2014;Primary Transit;16.511;405.01;0.664
Kepler-830 b;Confirmed;;;;;;;0.152;0.022;0.054;11.29695137;6.299e-05;6.299e-05;;;;;;;2016;Primary Transit;;1122.0;1.07
Kepler-831 b;Confirmed;;;;;;;0.113;0.006;0.009;5.62153941;1.272e-05;1.272e-05;;;;;;;2016;Primary Transit;;577.0;0.99
Kepler-832 b;Confirmed;;;;;;;0.184;0.015;0.029;7.1396941;2.817e-05;2.817e-05;;;;;;;2016;Primary Transit;;1346.0;0.92
Kepler-833 b;Confirmed;;;;;;;0.18;0.008;0.011;18.7546998;5.142e-05;5.142e-05;;;;;;;2016;Primary Transit;;421.0;0.64
Kepler-834 b;Confirmed;;;;;;;0.18;0.009;0.009;13.32388301;5.212e-05;5.212e-05;;;;;;;2016;Primary Transit;;620.0;0.7
Kepler-835 b;Confirmed;;;;;;;0.249;0.026;0.048;11.41909375;7.116e-05;7.116e-05;;;;;;;2016;Primary Transit;;2011.0;1.08
Kepler-836 b;Confirmed;;;;;;;0.244;0.029;0.057;11.36112327;2.363e-05;2.363e-05;;;;;;;2016;Primary Transit;;1003.0;1.03
Kepler-837 b;Confirmed;;;;;;;0.228;0.038;0.02;16.56059504;4.293e-05;4.293e-05;;;;;;;2016;Primary Transit;;846.0;0.85
Kepler-838 b;Confirmed;;;;;;;0.244;0.022;0.045;15.74957994;4.687e-05;4.687e-05;;;;;;;2016;Primary Transit;;1210.0;0.98
Kepler-839 b;Confirmed;;;;;;;0.229;0.022;0.037;37.8144514;0.0001545;0.0001545;;;;;;;2016;Primary Transit;;833.0;1.22
Kepler-84 b;Confirmed;;;;;;;0.199;0.009;0.009;8.726;;;0.083;;;0.0;88.24;;2012;Primary Transit;15.032;1443.27;1.022
Kepler-84 c;Confirmed;;;;;;;0.211;0.01;0.01;12.883;;;0.108;;;0.0;88.24;;2012;Primary Transit;15.032;1443.27;1.022
Kepler-84 d;Confirmed;;;;;;;0.123;0.024;0.024;4.224537;4.2e-05;4.2e-05;0.052;;;;;;2014;Primary Transit;15.032;1443.27;1.022
Kepler-84 e;Confirmed;;;;;;;0.232;0.044;0.044;27.434389;0.000224;0.000224;0.181;;;;;;2014;Primary Transit;15.032;1443.27;1.022
