Participant; Input; Distance; Width; Practice; Block; Trial; SerieNumber; TargetX; TargetY; Time; FirstClickTime; FirstClickDownX; FirstClickDownY; FirstClickUpX; FirstClickUpY; LastClickDownX; LastClickDownY; LastClickUpX; LastClickUpY; FullError; DownError; UpError; Reset
1; TokenAnse;864;8; true;0;4;6;0.5910155;0.2269536;2277;2177;0.5897772;0.7667737;0.5888525;0.7652965;0.5897772;0.7667737;0.5888525;0.7652965;0;0;0; False
1; TokenAnse;864;8; true;0;4;7;0.3712847;0.5;2261;2127;0.3679637;0.4981251;0.3681329;0.5012433;0.3679637;0.4981251;0.3681329;0.5012433;0;0;0; False
1; TokenAnse;864;8; true;0;4;8;0.5910155;0.7730463;1995;1851;0.5865982;0.2324428;0.5893551;0.2396468;0.5865982;0.2324428;0.5893551;0.2396468;0;0;0; False
1; TokenAnse;4900;15; true;0;5;1;0.5;0.1138542; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;4900;15; true;0;5;2;0.9166667;0.9114583;3773;2579;0.9057006;0.1038104;0.9029202;0.1060232;0.9133738;0.08602002;0.9112036;0.09331697;0;0;1; False
1; TokenAnse;4900;15; true;0;5;3;0.08333334;0.9114583;5221;5057;0.07692575;0.1064733;0.08903506;0.08755387;0.07692575;0.1064733;0.07912386;0.1111406;0;0;0; False
1; TokenAnse;4900;15; true;0;5;4;0.9166667;0.5677083;2976;2847;0.9155101;0.4353635;0.9132861;0.4369853;0.9155101;0.4353635;0.9132861;0.4369853;0;0;0; False
1; TokenAnse;4900;15; true;0;5;5;0.08333334;0.2239583;2710;2543;0.08675238;0.7771717;0.0865411;0.7773055;0.08675238;0.7771717;0.0865411;0.7773055;0;0;0; False
1; TokenAnse;4900;15; true;0;5;6;0.9166667;0.08854166;3591;3442;0.9167166;0.9078752;0.9145222;0.9018686;0.9167166;0.9078752;0.9145222;0.9018686;0;0;0; False
1; TokenAnse;4900;15; true;0;5;7;0.08333334;0.2239583;4424;4255;0.08560131;0.7755342;0.08704074;0.7773951;0.08560131;0.7755342;0.08704074;0.7773951;0;0;0; False
1; TokenAnse;4900;15; true;0;5;8;0.9166667;0.5677083;2577;2412;0.911468;0.4396263;0.9102959;0.439118;0.911468;0.4396263;0.9102959;0.439118;0;0;0; False
1; TokenAnse;4900;30; true;0;6;1;0.08333334;0.9114583; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;4900;30; true;0;6;2;0.9166667;0.9114583;2095;1957;0.9139361;0.08288874;0.9124733;0.08799952;0.9139361;0.08288874;0.9124733;0.08799952;0;0;0; False
1; TokenAnse;4900;30; true;0;6;3;0.08333334;0.9114583;2510;2343;0.08353845;0.09914731;0.0888599;0.1200403;0.08353845;0.09914731;0.0888599;0.1200403;0;0;0; False
1; TokenAnse;4900;30; true;0;6;4;0.9166667;0.5677083;2461;2283;0.9156873;0.4314577;0.9187091;0.4244606;0.9156873;0.4314577;0.9187091;0.4244606;0;0;0; False
1; TokenAnse;4900;30; true;0;6;5;0.08333334;0.2239583;2360;2242;0.08718424;0.7542764;0.09272296;0.7532415;0.08718424;0.7542764;0.09272296;0.7532415;0;0;0; False
1; TokenAnse;4900;30; true;0;6;6;0.9166667;0.08854166;2145;2008;0.9066865;0.8817772;0.9063573;0.882565;0.9066865;0.8817772;0.9063573;0.882565;0;0;0; False
1; TokenAnse;4900;30; true;0;6;7;0.08333334;0.2239583;2128;1966;0.07044356;0.7548628;0.07740229;0.7660894;0.07044356;0.7548628;0.07740229;0.7660894;0;0;0; False
1; TokenAnse;4900;30; true;0;6;8;0.9166667;0.5677083;3177;3041;0.9151483;0.4457745;0.9148397;0.4442552;0.9151483;0.4457745;0.9148397;0.4442552;0;0;0; False
1; TokenAnse;864;24; false;1;7;1;0.08333334;0.9114583; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;864;24; false;1;7;2;0.4089845;0.7730463;1711;4665;0.4885365;0.4962285;0.4880216;0.4981834;0.408553;0.2289326;0.4094412;0.2311361;0;0;0; False
1; TokenAnse;864;24; false;1;7;3;0.6287153;0.5000001;1429;1294;0.6245047;0.5233144;0.6291797;0.527428;0.6245047;0.5233144;0.6291797;0.527428;0;0;0; False
1; TokenAnse;864;24; false;1;7;4;0.4089845;0.2269537;1413;1238;0.4049432;0.7631731;0.4053147;0.7667022;0.4049432;0.7631731;0.4053147;0.7667022;0;0;0; False
1; TokenAnse;864;24; false;1;7;5;0.5;0.8861458;1446;1260;0.5008365;0.09508374;0.5017208;0.1162135;0.5008365;0.09508374;0.5017208;0.1162135;0;0;0; False
1; TokenAnse;864;24; false;1;7;6;0.5910155;0.2269536;1463;1299;0.5894713;0.7681594;0.5932337;0.7686724;0.5894713;0.7681594;0.5932337;0.7686724;0;0;0; False
1; TokenAnse;864;24; false;1;7;7;0.3712847;0.5;1546;1411;0.3718997;0.4954973;0.3722247;0.5047297;0.3718997;0.4954973;0.3722247;0.5047297;0;0;0; False
1; TokenAnse;864;24; false;1;7;8;0.5910155;0.7730463;1496;1300;0.5814241;0.2459199;0.5829321;0.2475549;0.5814241;0.2459199;0.5829321;0.2475549;0;0;0; False
1; TokenAnse;4900;30; false;1;8;1;0.5;0.1138542; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
