Id,Cat,Carb(g),Sugars(g),Prot(g),fat(g),Calcium(mg),Carotene- beta (µg),Fatty acids- total saturated (g),Fatty acids- total trans (g),Folate(µg),Iodine(µg),Iron(mg),Magnesium(mg),omega6(g),omega3(g),Potassium(mg),Vit B12(µg),Vit C(mg)
33 Ham- sliced- pre-packaged- deli meat (96%fat free- water added),9,0.27,0.0,16.7,3.73,5.0,0.0,1.12,0.01,0.0,0.0,0.58,18.8,0.443,0.013,425.0,0.0,0.0
34 Olives- green- Manzanilla- stuffed with pimiento,3,4.96,0.0,1.15,12.9,121.0,272.0,2.3,0.0,0.0,0.0,0.31,12.4,0.557,0.104,43.0,0.0,0.0
35 Cookies- oatmeal- soft- with raisins,11,69.6,34.8,5.79,14.3,29.0,0.0,4.78,0.04,34.0,0.0,2.28,32.4,4.21,0.632,245.0,0.0,0.0
36 Tomatoes- canned- red- ripe- diced,1,3.32,2.99,0.84,0.5,30.0,0.0,0.0,0.0,0.0,0.0,0.57,9.8,0.0,0.0,198.0,0.0,0.0
37 Fish- haddock- raw,13,0.0,0.0,16.3,0.45,11.0,0.0,0.093,0.004,0.0,0.0,0.17,21.1,0.014,0.002,286.0,1.83,0.0
38 Fish- pollock- raw,13,0.0,0.0,12.3,0.41,15.0,0.0,0.128,0.016,0.0,0.0,0.22,16.1,0.004,0.001,160.0,1.63,0.0
39 Fish- tuna- light- canned in water- drained solids,13,0.08,0.0,19.0,0.94,18.0,0.0,0.224,0.002,0.0,0.0,1.67,22.7,0.013,0.002,176.0,2.57,0.0
40 Restaurant- Chinese- fried rice- without meat,10,32.5,0.62,3.84,3.19,11.0,128.0,0.493,0.009,0.0,0.0,0.46,9.7,0.998,0.118,69.0,0.0,0.0
41 Restaurant- Latino- tamale- pork,10,15.8,0.46,7.38,9.04,75.0,113.0,2.69,0.058,0.0,0.0,0.87,26.2,1.82,0.099,152.0,0.12,0.0
42 Restaurant- Latino- pupusas con frijoles (pupusas- bean),10,31.5,1.3,5.59,9.01,51.0,0.0,2.19,0.057,0.0,0.0,1.46,53.6,2.49,0.329,305.0,0.0,0.0
43 Bread- whole-wheat- commercially prepared,11,43.1,4.41,12.3,3.55,163.0,0.0,0.732,0.022,42.0,0.0,2.56,76.6,1.46,0.139,250.0,0.0,0.0
"44 Beef- loin- tenderloin roast- separable lean only- boneless- trimmed to 0"" fat- select- cooked- roasted",8,0.0,0.0,27.7,6.36,13.0,0.0,2.47,0.359,0.0,0.0,3.04,13.7,0.329,0.012,352.0,4.21,0.0
