Session;Condition;Participant;Task;DataSet;IP;Move;MoveToPS;Select;BatchMoveSelection;BatchMoveSurface;BatchMoveFromPS;ExpandPS;EmptySurface;EmptySelection;Relayout;SurfaceCreated;SurfaceDestroyed;ToPSMoves;FromPSMoves;MaxItemInPS;TotItemsInSurfaces;MaxItemsInSurface;TotWalkDistance;TotItemMoveDistance;TotSurfaceMoveDistance;TotCursorMoveDistance;AvgDistanceToWall;InterPlayerDistance;CompletionTime;FirstActionTime;FirstToLastActionTime;InterCursorDistance
S3;Wall;P1;Classification;1;116;36;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;7.470754;59.20961;0;262.594;2.694005;1.218294;295.06;269.7011;261.067;1.949736
S3;Wall;P2;Story;1;180;37;0;16;4;0;0;0;0;0;0;0;0;0;0;0;0;0;24.30068;88.19183;0;649.7735;2.747649;0.5906497;489.6;478.0931;441.4452;1.269809
S3;Wall;P1;Story;1;116;17;0;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;9.587239;69.34571;0;476.9846;2.956812;0.5906497;489.6;478.0931;441.4237;1.269809
S4;AR;P2;Classification;1;180;5;0;33;4;0;0;0;0;0;5;2;0;0;0;0;41;26;9.886653;246.6559;61.29981;545.8405;3.240633;1.327382;274.36;244.6427;235.5482;3.361227
S4;AR;P1;Classification;1;116;15;0;29;5;0;0;0;0;0;4;2;1;0;0;0;48;26;16.00639;263.115;79.19488;679.566;2.707916;1.327382;274.36;244.6427;235.5482;3.361227
S4;AR;P2;Story;1;180;14;0;5;2;0;0;0;0;0;4;1;0;0;0;0;23;6;9.373511;89.48824;9.654995;718.3398;3.255268;1.161837;411.74;405.3506;393.6079;1.7187
S4;AR;P1;Story;1;116;4;0;6;6;0;0;0;0;0;2;2;0;0;0;0;8;6;15.03903;39.34145;45.94003;690.1964;2.786124;1.161837;411.74;405.3506;393.6079;1.7187
S4;Wall;P2;Classification;2;180;18;0;16;8;0;0;0;0;0;0;0;0;0;0;0;0;0;4.090175;189.3632;0;194.0287;3.913389;1.230749;241.78;221.8567;216.5648;1.890467
S4;Wall;P1;Classification;2;116;12;0;20;6;0;0;0;0;0;0;0;0;0;0;0;0;0;5.170979;279.2434;0;354.6657;3.527226;1.230749;241.78;221.8567;216.5496;1.890467
S4;Wall;P1;Story;2;116;5;0;29;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6.29723;128.58;0;391.2106;3.749664;1.080871;356.06;342.5761;313.0582;1.224228
