"Participant","GestureID","PlaneOrientation","GestureTap","Time","SpeedThumb","AccelerationThumb","SpeedIndex","AccelerationIndex","SpeedMiddle","AccelerationMiddle","PosXThumb","PosYThumb","PosZThumb","PosXIndex","PosYIndex","PosZIndex","PosXMiddle","PosYMiddle","PosZMiddle"
1,"DoubleTap","Horizontal",2,28.28582,0.08775637,0.05865437,0.1225073,-4.507008,0.1746578,-13.33542,0.1163813,-0.02699159,0.7151384,0.1412912,0.0326261,0.7272425,0.1695497,0.04632684,0.7299082
1,"DoubleTap","Horizontal",2,22.56909,0.3102287,-2.431477,0.3009391,-1.30862,0.3616393,-0.4224874,0.1222232,-0.04000083,0.7356967,0.1442439,0.01470296,0.750679,0.1703864,0.02556769,0.7550517
1,"DoubleTap","Horizontal",2,22.6195,0.6364175,29.07261,0.6904743,32.26529,0.6834128,31.84842,0.1190944,-0.03183335,0.7217526,0.1421942,0.02251852,0.7351686,0.1678609,0.03227504,0.7393996
1,"DoubleTap","Horizontal",2,26.36925,0.0007691588,-2.533907,0.0007679132,-4.214289,0.0007679905,-3.16816,0.1191247,-0.02901518,0.7209674,0.1423547,0.02706251,0.736042,0.1677592,0.04231198,0.7376107
1,"DoubleTap","Horizontal",2,27.73588,0.03682284,0.5763251,0.03453705,0.4042664,0.03729318,0.7376499,0.1203718,-0.02842402,0.7200144,0.1417579,0.03024105,0.731333,0.1668321,0.0389384,0.736083
1,"DoubleTap","Horizontal",2,26.41888,0.0395453,0.6087382,0.101129,0.2700849,0.05883929,-9.015,0.1196989,-0.02834516,0.7203955,0.1425993,0.03036267,0.7326879,0.1670717,0.03754155,0.7377967
1,"DoubleTap","Horizontal",2,22.93633,0.01318757,-2.615225,0.01318725,-2.212612,0.01319065,-4.418811,0.1229023,-0.02791282,0.7230756,0.145647,0.02369459,0.7381536,0.1685159,0.033384,0.741292
1,"DoubleTap","Horizontal",2,33.76916,0.02907343,0.1221626,0.02563266,0.7218676,0.0763391,3.463606,0.1207902,-0.02654695,0.7189724,0.1424963,0.02640675,0.7319185,0.1659679,0.03362142,0.7370657
1,"DoubleTap","Horizontal",2,28.73709,0.01325783,0.7484038,0.01663164,0.9407381,0.02217849,1.256841,0.1172893,-0.02670329,0.7166935,0.1422259,0.02803094,0.7321663,0.1674942,0.03785866,0.7363725
1,"DoubleTap","Horizontal",2,25.8025,0.02792387,0.9152473,0.05578943,2.466954,0.06546173,-1.989297,0.1196279,-0.02949546,0.7195128,0.1405633,0.02819204,0.7319443,0.1655016,0.03872922,0.7361073
1,"DoubleTap","Horizontal",2,32.28588,0.002230816,-1.216264,0.002233468,-0.843828,0.002231012,-1.358669,0.1198621,-0.03007322,0.72114,0.1450115,0.02500983,0.7362838,0.1680298,0.0306369,0.7410316
1,"DoubleTap","Horizontal",2,22.23581,0.1064858,2.185853,0.1028564,2.000374,0.1101178,2.416187,0.1116493,-0.01558977,0.6324157,0.1289009,0.05158797,0.6354917,0.1593101,0.0563205,0.6466787
1,"DoubleTap","Horizontal",2,26.5863,0.005099902,-2.906886,0.005103457,-1.238448,0.005104042,-1.273462,0.1184692,-0.03060819,0.7208638,0.1431631,0.02878765,0.7350132,0.1679866,0.03757387,0.7387847
1,"DoubleTap","Horizontal",2,29.90198,0.02993576,1.760825,0.02328114,1.351088,0.02061534,1.186772,0.1196385,-0.02853025,0.7208886,0.1428489,0.02786078,0.7339931,0.1677007,0.03585887,0.7381541
1,"DoubleTap","Horizontal",2,28.46848,0.02552934,-1.525917,0.01662491,0.001579983,0.1198287,3.089721,0.1198862,-0.02860847,0.7197179,0.143537,0.02916992,0.7327278,0.1691342,0.03401951,0.7384695
1,"DoubleTap","Horizontal",2,30.56934,0.000831232,-3.540031,0.0008320579,-0.609358,0.0008313878,-3.165565,0.1243681,-0.02916706,0.7232623,0.1439378,0.02969516,0.7331188,0.1682574,0.03732998,0.7375446
1,"DoubleTap","Horizontal",2,25.4198,0.0006802475,-2.802688,0.0006800687,-6.251819,0.0006805341,-3.1158,0.1163883,-0.02829893,0.7176883,0.1399386,0.03059068,0.7310231,0.1659946,0.04201315,0.7347209
1,"DoubleTap","Horizontal",2,30.78573,0.03886714,2.358093,0.04408679,2.678142,0.09728635,5.939956,0.1197401,-0.02763973,0.7200193,0.143204,0.02861213,0.7330998,0.1677719,0.03706739,0.7378776
1,"DoubleTap","Horizontal",2,27.2525,0.0457246,-0.5825033,0.01269449,-2.447046,0.06982127,1.998625,0.1182495,-0.02894812,0.7193928,0.1427808,0.02811956,0.7335417,0.1678194,0.03955708,0.7366489
1,"DoubleTap","Horizontal",2,32.85196,0.01240005,0.7111164,0.04881493,2.917616,0.1049405,6.318638,0.1196672,-0.02892593,0.7203209,0.1438702,0.03039608,0.7314492,0.1683007,0.04046404,0.7353421
1,"DoubleTap","Horizontal",2,29.25223,0.02265625,0.4155251,0.04268782,0.7940312,0.04951241,-1.577388,0.1184848,-0.02783334,0.7199638,0.142263,0.03017762,0.7319385,0.1670184,0.03547914,0.738928
1,"DoubleTap","Horizontal",2,32.98594,0.002000699,-2.560217,0.002001815,-0.7802804,0.001999884,-1.507824,0.1164856,-0.02853485,0.7171233,0.1437423,0.03065619,0.7322639,0.1676434,0.0372715,0.7375457
1,"DoubleTap","Horizontal",2,30.16343,0.02039329,1.068577,0.03512418,1.947577,0.02068103,1.085779,0.1180809,-0.02754156,0.7182306,0.1421094,0.02710642,0.7333334,0.1661284,0.038426,0.7362449
1,"DoubleTap","Horizontal",2,25.15269,0.02791869,1.543555,0.02650015,1.456806,0.02867052,1.589553,0.1179195,-0.03005842,0.7206472,0.1422506,0.02726729,0.7350866,0.1687129,0.03914113,0.7377157
1,"DoubleTap","Horizontal",2,34.60283,0.01169311,-0.5119419,0.01353596,-1.642993,0.05251941,-1.321632,0.1230427,-0.02928017,0.7230295,0.1438485,0.02885711,0.7353944,0.1690235,0.04301387,0.7371825
1,"DoubleTap","Horizontal",2,25.21917,0.04345763,2.516463,0.04386409,2.540855,0.1724316,10.19522,0.1174085,-0.02900696,0.7196477,0.1409939,0.02861954,0.7327689,0.1682762,0.04292535,0.7346563
