;Volcano;Event;Magnitude;VEI;SampleID;SampleObservationID;Location;Longitude;Authors;DOI;TypeOfRegister;TypeOfAnalysis;AnalyzedMaterial;AnalyticalTechnique;TypeOfSection;Latitude;SectionID;Flag;HistoricalAge;SiO2;TiO2;Al2O3;FeOT;MnO;MgO;CaO;Na2O;K2O;P2O5
16571;Villarrica;Pucón;5.7;5.0;VILLAR1B-I-91;LV5B_27;Lago Villarrica;-72.21001;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.28339;VILLAR1;;;56.2004;1.44;14.8346;9.2578;0.1874;3.7862;7.3167;3.7958;1.0642;0.3162
16261;Villarrica;Pucón;5.7;5.0;CLD182D;Qu11-F-2;;-71.553511;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.45075396;CLD182;;;58.31973065;1.284434548;15.68330595;9.216117984;0.21707344;3.563205499;6.995366662;3.825294168;1.159392244;0.233078855
10692;Puyehue-Cordón Caulle;PCC2011;5.0;;PCC-14;PCC-14_16;Villa La Angostura;-71.865977;Alloway et al., 2015;https://doi.org/10.1038/srep17589;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.672188;;Geochemistry_Issue;2011;71.817652;0.571254;14.28135;3.828404;0.070154;0.471034;1.623564;4.30946;3.066732;
14281;Unknown;Unknown;;;CAL2A-IV-48.5;LC13-G_14;Lago Calafquen;-72.25;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.549;CAL2;;;56.4697;1.9266;14.932;10.3617;0.2152;2.8182;6.0436;4.4219;2.0283;0.6342
8391;Mocho-Choshuenco;MC3;4.0;;115_01d;115_01d_21;;-71.91667;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.86667;;;;67.0399;0.7198;15.3902;3.6785;0.1502;0.9527;2.9439;5.197;2.1541;0.105
12627;Quetrupillán;Puesco;4.4;4.0;CLD166B;Qu05-D_14;;-71.55183798;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.52539397;CLD166;;;65.671;0.8909;14.768;4.2525;0.1057;0.904;2.4309;5.0865;3.3884;0.2306
5277;Llaima;Llaima Pumice;;;JK205;JK205-1;;-71.61;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-38.77;C262;;;64.6;0.921;15.82;6.26;0.172;1.3043;4.21;4.78;1.36;0.2612
6817;Michinmahuida;Lepué;;;14J13 S5-1;13-06-35-20;;-72.58916667;Alloway et al., 2017b;https://doi.org/10.1002/jqs.2976;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-42.62472222;Puente Aguila (Section 5);Geochemistry_Issue;;;;;;;;;;;
9808;Mocho-Choshuenco;Hua-hum;4.6;4.0;CLD153A;1K2_1;;-71.94895201;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.22828604;CLD153;EventName_Issue;;62.3708;1.242;15.4213;6.0311;0.2207;2.0494;4.9149;4.9549;1.3895;0.3267
11180;Puyehue-Cordón Caulle;Unknown;;;CAL2A-V-41.5;LC14-D_6;Lago Calafquen;-72.25;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.549;CAL2;;;66.9474;0.9083;14.2341;5.4012;0.0968;0.9035;2.7983;5.2652;2.5533;0.2545
9730;Mocho-Choshuenco;Neltume;5.7;;6M4;6M4_9;;-72.068;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.529;;EventName_Issue;;66.758;0.4482;14.4066;2.2449;0.0943;0.4819;1.6042;4.8762;2.2923;0.0991
4694;Llaima;1852 Llaima;;;8LM-338_C17m;8LM-338_C17m;;-71.73;Bouvet de Maisonneuve et al., 2012;https://doi.org/10.1016/j.jvolgeores.2011.09.010;Pyroclastic material;Micro Analytical;Open melt inclusions;EMP, SIMS, LA-ICP-MS;Outcrop;-38.7;;Position_Issue;1852;53.19048669;0.990826458;15.74230151;11.2069634;0.217238931;4.87268048;9.245598859;3.473571716;0.497613246;0.0
4050;Hudson;H1;;6.0;94T-49E;94T-49E;Juncal Alto;-71.96527;Naranjo & Stern, 1998;https://doi.org/10.1007/s004450050193;Organic matter;Bulk;Peat;;Outcrop;-46.240015;94T-49;;;;;;;;;;;;
9222;Mocho-Choshuenco;MC10;3.0;;130120-06A;1N2_2;;-71.953;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.8035;130120-06;;;54.6428;1.3526;15.459;9.1596;0.1771;4.2435;8.244;3.7512;0.9691;0.2106
9142;Mocho-Choshuenco;Pirehueico;5.3;5.0;130114-1D;5F4_3;;-71.933;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.994;130114-1;EventName_Issue;;68.8898;0.6358;15.4561;2.9016;0.1075;0.577;2.0401;6.4045;2.3113;0.1146
16597;Villarrica;Unknown;;;VILLAR1C-I-1;LV5F_2;Lago Villarrica;-72.21001;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.28339;VILLAR1;;;55.3356;1.3138;14.1105;10.3899;0.2879;5.1807;8.2497;3.2468;0.8482;0.237
11367;Puyehue-Cordón Caulle;Ranco;5.5;5.0;CLD239A;IT'IV-C_16;;-71.72437501;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.67586198;CLD239;;;70.0091;0.3031;13.8643;3.6829;0.1277;0.2131;1.6657;5.2882;2.8854;0.0513
14213;Unknown;Unknown;;;CAL2A-II-18;CL'-B_18;Lago Calafquen;-72.25;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.549;CAL2;;;67.9115;1.0729;14.1737;4.1893;0.1893;0.6685;1.8384;4.8324;3.8728;0.2342
7318;Mocho-Choshuenco;Enco;;5.0;4T6;4T6_8;Lago Riñihue;-72.389;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.816;RIN2;EventName_Issue;;58.96676471;1.341362149;16.01043292;7.398619575;0.19856085;2.391341508;5.076168569;4.362931588;1.574568513;0.342249614
5329;Llaima;Unknown;;;JK208;JK208-10;;-71.64;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-38.83;C263;;;64.05;1.4023;14.64;7.7;0.1924;1.6308;4.44;4.56;1.43;0.3284
2706;Chaitén;Vcha-2008;;;SC-T1;15-01-6-23;Lago Pinto, Futaleufú;-71.90211;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-43.15761;Lago Pinto, Futaleufú;Geochemistry_Issue;2008;75.41;0.136152;13.866;1.448;0.272;0.065;1.451;3.543802;2.940504;
11824;Puyehue-Cordón Caulle;Mil Hojas;5.0;5.0;CLD312A;PI-A_17;;-71.97225002;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.30266001;CLD312;;;68.523;0.6818;14.1097;4.0404;0.1141;0.5917;2.0442;5.3357;2.7639;0.1024
15377;Unknown;Unknown;;;T7/98;T7/98-3;;-75.03;Martínez Fontaine et al., 2021;https://doi.org/10.1016/j.quascirev.2021.106928;Pyroclastic material;Micro Analytical;Glass shards;EMP;Marine core;-40.93;MD07-3098;;;69.77;0.46;14.33;3.62;0.18;0.37;1.67;2.72;3.15;
7543;Mocho-Choshuenco;Neltume;;5.0;CLD168I;Qu07-Fb-6;;-71.54553797;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.50296802;CLD168;EventName_Issue;;69.81340485;0.553597936;14.57273989;2.801025363;0.043046494;0.583630374;1.699835978;4.447804035;2.520722611;0.178192464
9727;Mocho-Choshuenco;Neltume;5.7;;6M4;6M4_2;;-72.068;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.529;;EventName_Issue;;67.8322;0.4172;14.8734;2.5771;0.1071;0.5057;1.8944;5.3238;2.3609;0.1097
15193;Unknown;Unknown;;;VILL3A-III-57;LV3C_7;Lago Villarrica;-72.157893;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.281989;VILL3;;;66.0937;0.9392;16.0569;4.0111;0.0817;0.929;3.0017;5.2739;2.9997;0.1602
14573;Unknown;Unknown;;;CLD167E;Qu06-Eb-7;;-71.54548399;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.50395399;CLD167;;;63.49929484;1.130340311;15.08889179;5.6637158;0.0;1.478753445;3.712402013;4.428250837;3.252857104;0.416493861
5237;Llaima;Unknown;;;JK199;JK199-6;;-71.63;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-38.77;C260;;;57.33;1.97;13.09;12.6;0.2174;3.15;7.1;3.12;0.9128;0.2821
10129;Monte Burney;Unknown;;;B-77;LPA_B77_40.67m_10;Laguna Potrok Aike;-70.383333;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-51.966667;ICDP 5022-2CP;;;75.47398778;0.289743441;13.5461695;1.566600605;0.0;0.44085836;2.032333445;3.210479237;1.560799838;0.042178465
1927;Chaitén;Vcha-2008;;;Nalca-31-05-2008;08-1 2 12;Nalca;-72.64777778;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-42.8375;;Position_Issue, Geochemistry_Issue;2008;74.8348782;0.118;13.8495637;1.1879076;0.047;0.249;1.320195;3.9336726;3.21202962;
14017;Unknown;Yelcho;;;SC-T5;15-01-4-17;Lago Pinto, Futaleufú;-71.90211;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-43.15761;Lago Pinto, Futaleufú;VolcanicSource_Issue, Geochemistry_Issue;;67.976;0.766692;15.441;4.896;0.803;0.137;2.395;4.29201;3.375204;
3813;Hudson;H1;;;Opr-5;Opr-5-2;;-73.67;Haberle & Lumley, 1998;https://doi.org/10.1016/S0377-0273(98)00037-7;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-44.37;Laguna Oprasa;SampleID_Issue, EventName_Issue;;53.589;1.166;15.799;8.984;;5.501;8.955;3.271;0.835;
13542;Quetrupillán;Unknown;;;CLD404B;FXV-I-G_10;;-71.548033;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.518274;CLD404;;;68.1556;1.0874;14.4722;4.0367;0.1309;0.7023;1.8503;4.4877;4.0382;0.312
6550;Mentolat;Unknown;;;CS 4130;CS 4130;Laguna Unco;-71.716663;Weller et al., 2015;https://doi.org/10.1007/s00445-015-0991-2;Pyroclastic material;Bulk;Bulk tephra;ICP-MS;Lake core;-45.571848;PC1103 E;;;;;;;;;;;;
9599;Mocho-Choshuenco;Riñihue;3.0;;150114-5;11F4_26;;-71.911;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.909329;150114-5;Position_Issue, EventName_Issue;;55.1144;1.3349;16.3891;9.1922;0.2067;4.7874;8.2786;3.7434;0.9243;0.2183
1342;Chaitén;Unknown;;;LAZ-D TII;12-03-6-13;La Zeta, Esquel;-71.36497;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-42.89061;La Zeta, Esquel (Dune section);;;;;;;;;;;;
16671;Villarrica;Licán;;;VR5-2;VR5-2-4;;-72.1711;Lohmar et al., 2012;https://doi.org/10.1016/j.jvolgeores.2012.05.006;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.455;;SampleID_Issue;;58.71;1.52;14.87;10.76;0.19;2.41;5.66;2.28;1.7;0.16
2249;Chaitén;Puma Verde;;;Pum-4-6;13-03-16-18;;-72.40083333;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-42.96194444;Pumalín-4;Geochemistry_Issue;;77.796108;0.086;13.61177;1.065792;0.172;0.064;1.043866;4.058;3.27813;
454;Caburgua-Huelemolles-Relicura;Unknown;;;Cab2-1;Cab2-1;Caburgua;-71.822277;Morgado et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.09.023;Effusive material;Bulk;Lava;XRF, ICP-MS;Outcrop;-39.19919;;;;50.24;1.13;17.5;;0.156;6.33;8.79;3.34;0.82;0.33
14807;Unknown;Unknown;;;LR0901B-T7-20;LRa2-C_16;Laguna Las Ranas;-72.087;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.189;LR0901B;;;66.4015;0.5177;15.0063;3.3714;0.1185;0.2754;2.304;5.9087;1.6998;0.1153
5855;Llaima;Llaima Pumice;;;JK261b;JK261b-1;;-71.61;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-38.76;C275;;;69.24;0.4371;15.28;3.96;0.2161;0.476;2.47;5.29;1.64;0.096
13735;Reclus;R1;;;T-24;LPA_T24_11;Laguna Potrok Aike;-70.383333;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-51.966667;ICDP 5022-2CP;;;73.51751777;0.120818318;12.19398619;1.264546015;0.00875909;0.21478812;1.470289423;3.74698637;2.501577063;0.0
10989;Puyehue-Cordón Caulle;PCC2011;5.0;;PCC-7;13-19-4-18;Villa La Angostura (VLA), Gendarmería;-71.526204;Alloway et al., 2015;https://doi.org/10.1038/srep17589;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-40.678596;;;2011;;;;;;;;;;
683;Carrán-Los Venados;Riñinahue1907;;;10.7-11.2 cm;69;Lago Puyehue;-72.42235;Bertrand et al., 2008;https://doi.org/10.1016/j.yqres.2008.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-40.69738;PU-II-P2;;1907;62.7;0.99;15.13;7.16;;1.38;3.82;4.37;1.64;
1561;Chaitén;Unknown;;;-12,00 LTT;13-21-3-09;;-72.70622;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Lake core;-42.90225;Lago Teo;;;;;;;;;;;;
14842;Unknown;Unknown;;;LR0901B-T9-45.5;LRa3-B_18;Laguna Las Ranas;-72.087;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.189;LR0901B;;;60.8743;1.7429;13.8218;9.4541;0.1386;1.8001;5.0778;2.9597;1.388;0.4126
1925;Chaitén;Vcha-2008;;;Nalca-31-05-2008;08-1 2 10;Nalca;-72.64777778;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-42.8375;;Position_Issue, Geochemistry_Issue;2008;69.19394175;0.133;12.8212663;1.2445161;0.041;0.284;1.203033;4.2809546;3.13238419;
12137;Puyehue-Cordón Caulle;Mil Hojas;5.0;5.0;RIN2A-II-3;3T4_22;Lago Riñihue;-72.389;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.816;RIN2;;;67.67477498;0.627755747;14.64760071;3.962326141;0.05721445;0.539078359;2.279960778;5.236474918;2.759620278;0.146793642
6930;Michinmahuida;Lepué;;;LAZ-T7B;12-05-29_22;La Zeta, Esquel;-71.36472222;Alloway et al., 2017b;https://doi.org/10.1002/jqs.2976;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-42.89083333;La Zeta, Esquel;Geochemistry_Issue;;70.6797;0.323;13.736079;3.946958;0.149;0.193;1.451388;6.434;1.898235;
13329;Quetrupillán;Quet5;3.0;;CLD193A;Qu12-F-13;;-71.65118298;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.56687199;CLD193;;;66.17142241;1.012031164;15.38867961;4.265345983;0.210214188;1.115136218;2.842896642;4.668757021;3.24630768;0.205209089
2097;Chaitén;Pumalín;;;Pum-2-10;13-04-6-21;;-72.39888889;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-42.92305556;Pumalín-2;;;;;;;;;;;;
4063;Hudson;Hudson1991;4.0;;MG-1;MG-1;;-72.96665;Naranjo et al., 1993a;https://www.researchgate.net/publication/284533392_La_erupcion_del_volcan_Hudson_en_1991_46S_Region_XI_Aisen_Chile;Pyroclastic material;Bulk;;;Outcrop;-45.900014;;Position_Issue, DOI_Issue;1991;60.79;1.0;16.85;6.15;0.19;1.99;4.24;5.66;2.31;0.38
1919;Chaitén;Vilcún;;;-6,00 LTT;12-17-6-28;;-72.70622;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Lake core;-42.90225;Lago Teo;;;;;;;;;;;;
10260;Monte Burney;Unknown;;;T-50;LPA5_94.329m_3;Laguna Potrok Aike;-70.383333;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-51.966667;ICDP 5022-2CP;;;71.6362553;0.346044445;12.88567263;1.678525397;0.082695847;0.478624869;2.12042835;4.390701193;1.530207009;0.020793189
697;Carrán-Los Venados;Riñinahue1907;;;54.5-55 cm;107;Lago Puyehue;-72.365893;Bertrand et al., 2008;https://doi.org/10.1016/j.yqres.2008.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-40.664295;PU-I-P1;;1907;69.62;0.8;13.05;3.56;;0.78;2.72;5.03;1.72;
1218;Chaitén;Vcha-2008;;;ElCelta-03-05-2008;08-1_4 10;El Celta;-71.52111111;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-43.17583333;;Geochemistry_Issue;2008;74.50732695;0.121;13.9388045;1.2584505;0.035;0.263;1.225956;2.951897;3.04769791;
1372;Chaitén;Unknown;;;LAZ-T12;12-04-6-24;La Zeta, Esquel;-71.36472;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-42.89083333;La Zeta, Esquel (Drain section);;;;;;;;;;;;
14138;Unknown;Unknown;;;CAL1A-IV-53;LC3A_5;Lago Calafquen;-72.219;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.546;CAL1;;;55.8168;1.5461;15.4471;9.2482;0.1615;3.8636;7.3978;3.9597;1.0113;0.2728
16629;Villarrica;Licán;6.2;6.0;VILLAR8C-II-116;LV6-F_7;Lago Villarrica;-72.21;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.283;;;;56.0934;1.5905;15.2944;10.3022;0.1906;3.1405;6.8685;4.3893;0.8458;0.2978
5432;Llaima;Unknown;;;JK216;JK216-5;;-71.61;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-38.77;C265;;;57.41;1.3549;15.88;9.54;0.1846;3.92;6.82;3.46;0.9922;0.2407
12429;Quetrupillán;Puesco;4.4;4.0;CLD037A;12F4-B_10;;-71.55632366;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.53718295;CLD037;;;66.5516;0.9038;14.9846;3.9423;0.1075;0.8493;2.4234;5.3643;3.4547;0.2434
13754;Reclus;Unknown;;;T-25;LPA3_21.074m_12;Laguna Potrok Aike;-70.383333;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-51.966667;ICDP 5022-2CP;;;74.48732989;0.226799522;13.47618238;1.714639975;0.078203322;0.321513533;2.134723309;4.091783697;2.175851731;0.01977328
13298;Quetrupillán;Unknown;;;CLD184D;Qu12-D-3;;-71.63152901;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.38500204;CLD184;;;66.55473346;0.69312197;15.00328612;4.06057293;0.0;0.951540277;2.252646403;4.413143643;3.460601744;0.218353453
2316;Chaitén;Cha1;;;Pum-4-8;13-03-2-11;;-72.40083333;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-42.96194444;Pumalín-4;;;;;;;;;;;;
16584;Villarrica;Unknown;;;VILLAR1B-II-36;LV5D_15;Lago Villarrica;-72.21001;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.28339;VILLAR1;;;55.4406;1.5136;14.5049;10.6031;0.1904;3.8335;7.7692;3.6726;0.9992;0.2851
15509;Unknown;Unknown;;;-20,00 LTT;08-7_3 14;;-72.70622;Moreno et al., 2015;https://doi.org/10.1130/G36248.1;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-42.90225;Lago Teo;VolcanicSource_Issue;;67.85892665;0.469779192;16.17181476;3.714707941;0.089430442;0.596921266;2.209848428;5.36790881;3.52066251;
2650;Chaitén;Unknown;;;S6.5;12-06-5-25;;-72.60494;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-42.7535;Section 6;;;;;;;;;;;;
7824;Mocho-Choshuenco;Neltume;5.7;;040114-2B;6F1_9;;-72.068;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.529;040114-2;EventName_Issue;;70.2184;0.5358;15.5475;2.9712;0.1169;0.6039;2.1033;5.9745;2.2771;0.0586
16291;Villarrica;Pucón;5.7;5.0;CLD406E;FXV-II-C_27;;-71.489618;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.430254;CLD406;;;56.7202;1.3624;15.4368;9.3152;0.2164;3.2873;6.9217;3.306;0.9546;0.2758
4679;Llaima;1852 Llaima;;;8LM-338_C1;8LM-338_C1;;-71.73;Bouvet de Maisonneuve et al., 2012;https://doi.org/10.1016/j.jvolgeores.2011.09.010;Pyroclastic material;Micro Analytical;Closed melt inclusions;EMP, SIMS, LA-ICP-MS;Outcrop;-38.7;;Position_Issue;1852;51.602;1.216;15.391;10.4490988;0.195;5.798;9.296;3.2;0.708;0.076
