;Volcano;Event;Magnitude;VEI;SampleID;SampleObservationID;Location;Longitude;Authors;DOI;TypeOfRegister;TypeOfAnalysis;AnalyzedMaterial;AnalyticalTechnique;TypeOfSection;Latitude;SectionID;Flag;HistoricalAge;SiO2;TiO2;Al2O3;FeOT;MnO;MgO;CaO;Na2O;K2O;P2O5
803;Carrán-Los Venados;Carrán1955;;;PulT1;MSC1A_2;Lago Pullinque;-72.163;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.571;PULGC01;;1955;57.1641;1.411;14.8239;9.5145;0.1359;3.0754;5.8829;4.7013;1.3112;0.3539
10504;Puyehue-Cordón Caulle;PCC2011;5.0;;PCC-1;13-19-1-24;Bariloche (BSI),  km 7.600;-71.401777;Alloway et al., 2015;https://doi.org/10.1038/srep17589;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-41.13;;;2011;;;;;;;;;;
12507;Quetrupillán;Unknown;;;CLD160N;Qu02-F_12;;-71.815766;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.45846599;CLD160;;;53.50266519;1.370447053;15.01768639;9.602134282;0.109859886;5.407747853;9.126975265;3.411259534;0.941213071;0.204511483
12695;Quetrupillán;Puesco;4.4;4.0;CLD166D;Qu05-Fb-15;;-71.55183798;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.52539397;CLD166;;;68.54466304;0.936238349;15.58361222;3.90616663;0.154203963;0.938240998;2.361123023;4.57405003;3.375464678;0.179237074
11713;Puyehue-Cordón Caulle;Mil Hojas;5.0;5.0;CLD252A;IT'-VI-E_19;;-71.70500703;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.59822301;CLD252;;;69.1329;0.639;14.0801;3.8131;0.1856;0.5236;1.9564;4.964;2.7285;0.1136
15427;Unknown;Unknown;;;Laut-GEM5;Laut-GEM5_25;Laguna Gemelas;-72.8985;Mayr et al., 2019;https://doi.org/10.1007/s10933-019-00088-y;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-49.3849;GEM17-1;;1986-1998;71.71553424;0.206396428;12.96938887;1.474820648;0.03109821;0.344855227;1.818240574;3.338416765;3.551032835;0.064110156
13419;Quetrupillán;Unknown;;;CLD197A;CT'-I-C_27;;-71.66827703;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.565191;CLD197;;;53.112;1.5745;15.4678;10.248;0.1433;5.1277;8.629;3.1356;0.8987;0.3011
8329;Mocho-Choshuenco;Riñihue;3.0;;110114-5i;10F5_22;;-71.991;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.909329;110114-5;Position_Issue, EventName_Issue;;55.9716;1.4765;15.2345;9.9583;0.1436;4.3479;7.7069;3.7812;1.0499;0.2776
14887;Unknown;Unknown;;;LR0901B-T9-66;LRa3-F_13;Laguna Las Ranas;-72.087;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.189;LR0901B;;;53.908;2.2449;13.5958;11.1733;0.1642;3.4858;6.6618;3.6362;1.5513;0.7026
9426;Mocho-Choshuenco;MC11;3.0;;140114-5D;2F4_17;;-71.918;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.878;140114-5;;;60.1371;1.9001;13.443;10.0785;0.1981;2.2721;5.2951;3.9875;1.7551;0.468
9035;Mocho-Choshuenco;MC12;4.0;;130111-09A;1N5_13;;-71.89539199;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.85338698;130111-09;;;64.7916;0.9455;15.6186;5.488;0.1895;1.3283;3.5081;5.2111;1.8341;0.3113
13061;Quetrupillán;Puesco;4.4;4.0;CLD175A;Qu09-E-1;;-71.56406097;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.55598599;CLD175;;;67.21723406;0.783854019;15.11346632;3.580901439;0.0;0.890970724;2.431649314;4.50891252;3.406711657;0.275299943
3887;Hudson;HW6;;;Six-3;Six-3-10;;-74.48;Haberle & Lumley, 1998;https://doi.org/10.1016/S0377-0273(98)00037-7;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-46.43;Laguna Six minutes;SampleID_Issue;;54.848;2.079;14.197;10.139;;3.1;6.808;3.983;1.619;
15788;Unknown;Unknown;;;CS 4108;CS 4108;Lago Tranquilo;-71.745902;Weller et al., 2015;https://doi.org/10.1007/s00445-015-0991-2;Pyroclastic material;Bulk;Bulk tephra;ICP-MS;Lake core;-45.459683;PC1203 A;;;;;;;;;;;;
